城市,首次发布时间,标准品牌,标准车系,站点,成份车商名,来源,天眼属性
蛟河,2017/6/30 17:01,别克,凯越,百姓,,,
吉林,2017/6/30 17:01,别克,凯越,百姓,,,
温州,2017/6/30 16:59,别克,凯越,二手车之家,,,
南京,2017/6/30 16:56,别克,凯越,百姓,,,
顺德,2017/6/30 16:54,别克,凯越,百姓,,,
泰安,2017/6/30 16:53,别克,凯越,淘车,看车网（泰安）,看车网,2
郑州,2017/6/30 16:51,别克,凯越,二手车之家,,,
温州,2017/6/30 16:47,别克,凯越,华夏二手车,,,
湖州,2017/6/30 16:44,别克,凯越,百姓,,,
台州,2017/6/30 16:43,别克,凯越,百姓,,,
哈尔滨,2017/6/30 16:41,别克,凯越,淘车,,,
衢州,2017/6/30 16:41,别克,凯越,百姓,,,
舟山,2017/6/30 16:40,别克,凯越,百姓,,,
温州,2017/6/30 16:38,别克,凯越,百姓,,,
潍坊,2017/6/30 16:38,别克,凯越,百姓,,,
武汉,2017/6/30 16:37,别克,凯越,淘车,,,
义乌,2017/6/30 16:34,别克,凯越,百姓,,,
武汉,2017/6/30 16:33,别克,凯越,二手车之家,,,
沈阳,2017/6/30 16:32,别克,凯越,淘车,看车网（沈阳）,看车网,2
西安,2017/6/30 16:32,别克,凯越,淘车,,,
太原,2017/6/30 16:22,别克,凯越,淘车,,,
娄底,2017/6/30 16:20,别克,凯越,二手车之家,,,
苏州,2017/6/30 16:17,别克,凯越,搜狐,,,
郑州,2017/6/30 16:16,别克,凯越,百姓,,,
如皋,2017/6/30 16:14,别克,凯越,百姓,,,
北京,2017/6/30 16:12,别克,凯越,百姓,,,
重庆,2017/6/30 16:11,别克,凯越,百姓,,,
重庆,2017/6/30 16:11,别克,凯越,百姓,,,
金华,2017/6/30 16:09,别克,凯越,二手车之家,,,
上海,2017/6/30 16:06,别克,凯越HRV,淘车,,,
芜湖,2017/6/30 16:04,别克,凯越,大搜车,,,
漳州,2017/6/30 16:03,别克,凯越,米车,,,
温州,2017/6/30 16:02,别克,凯越,瓜子,瓜子（温州）,瓜子网,2
苏州,2017/6/30 16:01,别克,凯越,淘车,看车网（苏州）,看车网,2
福州,2017/6/30 16:00,别克,凯越,273,,,
铜陵,2017/6/30 15:56,别克,凯越,华夏二手车,,,
福州,2017/6/30 15:53,别克,凯越,273,,,
赣州,2017/6/30 15:53,别克,凯越HRV,百姓,,,
潍坊,2017/6/30 15:53,别克,凯越,百姓,,,
西安,2017/6/30 15:50,别克,凯越,二手车之家,,,
南京,2017/6/30 15:49,别克,凯越,搜狐,,,
石家庄,2017/6/30 15:43,别克,凯越,搜狐,,,
上饶,2017/6/30 15:40,别克,凯越,二手车之家,,,
景德镇,2017/6/30 15:38,别克,凯越,273,,,
宁波,2017/6/30 15:38,别克,凯越,百姓,,,
泉州,2017/6/30 15:36,别克,凯越,二手车之家,,,
宿迁,2017/6/30 15:34,别克,凯越,百姓,,,
鹰潭,2017/6/30 15:31,别克,凯越,百姓,,,
哈尔滨,2017/6/30 15:30,别克,凯越,二手车之家,,,
义乌,2017/6/30 15:28,别克,凯越,百姓,,,
福州,2017/6/30 15:27,别克,凯越,华夏二手车,,,
泉州,2017/6/30 15:27,别克,凯越,淘车,,,
新乡,2017/6/30 15:26,别克,凯越,百姓,,,
泉州,2017/6/30 15:25,别克,凯越,二手车之家,,,
厦门,2017/6/30 15:16,别克,凯越,淘车,,,
上海,2017/6/30 15:14,别克,凯越,搜狐,,,
宁波,2017/6/30 15:14,别克,凯越HRV,百姓,,,
武汉,2017/6/30 15:13,别克,凯越,淘车,,,
海门,2017/6/30 15:10,别克,凯越,百姓,,,
